Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),International Designator,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
GSAT-11,43824,India,Indian Space Research Organization (ISRO),Government,Communications,,"35775km × 35798km, 0.12°",GEO,,1436.09,"5,854",,04/12/2018,15,,Heaviest comms satellite ever built by IRSO. Ku- and Ka-band transponders.
GSAT-12,37746,India,Indian Space Research Organization (ISRO),Government,Communications,,"35761km × 35811km, 0.09°",GEO,,1436.1,"1,410",,15/07/2011,8,,C-band expansion at this location. Designed for quick turn-around deployment.
GSAT-14,39498,India,Indian Space Research Organization (ISRO),Government,Communications,,"35763km × 35810km, 0.23°",GEO,,1436.1,"1,982",,05/01/2014,12,,Replacement for GSAT-3.
GSAT-15,41028,India,Indian Space Research Organization (ISRO),Government,Communications,,"35782km × 35805km, 0.1°",GEO,,1436.1,"3,164",,10/01/2015,12,,
GSAT-16,40332,India,Indian Space Research Organization (ISRO),Government,Communications,,"35776km × 35798km, 0.18°",GEO,,1436.1,"3,181",,06/12/2014,15,,"Replacement for GSAT-3E. 48 transponders - 12 in the C band, 12 in the extended C and 24 in the Ku band."
GSAT-17,42815,India,Indian Space Research Organization (ISRO),Government,Communications,,"35757km × 35817km, 0°",GEO,,1436.1,"3,477",,28/06/2017,15,,Also hosts a payload to relay meteorological data and has a search and rescue support mission
GSAT-18,41793,India,Indian Space Research Organization (ISRO),Government,Communications,,"35775km × 35812km, 0°",GEO,,1436.1,"3,404",,05/10/2016,15,,
GSAT-19E,42747,India,Indian Space Research Organization (ISRO),Government,Communications,,"35777km × 35795km, 0°",GEO,,1436.1,"3,136",,03/06/2017,10,,
GSAT-29,43698,India,Indian Space Research Organization (ISRO),Government,Communications,,"37782km × 37807km, 0.1°",GEO,,1436.1,"3,400",,14/11/2018,10,,High-throughput.
GSAT-30,45026,India,Indian Space Research Organization (ISRO),Government,Communications,,"35794km × 35844km, 0.12°",GEO,,1437.7,"3,357",,16/01/2020,15,,12 C-band transponders and 12 Ku-band transponders.
GSAT-31,44035,India,Indian Space Research Organization (ISRO),Government,Communications,,"35774km × 35799km, 0.1°",GEO,,1436.1,"2,536",,05/02/2019,15,,Ku-band services to India and neighboring islands and oceans.
GSAT-6,40880,India,Indian Space Research Organization (ISRO),Government/Commercial,Communications,,"35775km × 35775km, 0°",GEO,,1436.1,"2,110",,27/08/2015,12,,
GSAT-7,39234,India,Indian Navy,Military,Communications,,"35757km × 35814km, 0.19°",GEO,,1436,"2,650",,29/08/2013,7,,India's first dedicated military satellite.
GSAT-7A,43864,India,Indian Air Force,Military,Communications,,"35777km × 35796km, 0.01°",GEO,,1436.11,"2,250",,19/12/2018,8,,Built to serve the Indian Air Force.
GSAT-8,37605,India,Indian Space Research Organization (ISRO),Government,Communications/Navigation,,"35782km × 35796km, 0.09°",GEO,,1436.23,"3,093",,20/05/2011,12,,Direct-to-home broadcast  and other domestic needs. Equipped with GAGAN (GPS Aided GEO Augmented Navigation).
G-Satellite,45598,Japan,Tokyo 2020 One Team Project,Civil,Communications,,"413km × 418km, 51.6°",LEO,,92.9,3,,28/04/2020,,,First satellite ever orbited to celebrate the Olympic Games - scheduled for 2020 in Japan but delayed
USA 253,40099,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,"35741km × 35784km, 0.09°",GEO,,1434.9,,,28/07/2014,,,Space surveillance of satellites in GEO.
USA 254,40100,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,"35758km × 35795km, 0.06°",GEO,,1435.6,,,28/07/2014,,,Space surveillance of satellites in GEO.
USA 270,41744,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,"35749km × 35820km, 0.03°",GEO,,1436.02,,,19/08/2016,,,Space surveillance of satellites in GEO.
USA 271,41745,USA,Air Force Satellite Control Network,Military,Space Observation,Imaging,"35769km × 35899km, 0.01°",GEO,,1438.54,,,19/08/2016,,,Space surveillance of satellites in GEO.
Haiyang 1C,43609,China,State Oceanic Administration (SOA),Government,Earth Observation,Meteorology,"769km × 786km, 98.6°",LEO,Sun-Synchronous,100.4,442,,07/09/2018,,,Ocean-imaging surveillance satellite.
Haiyang 1D,45721,China,State Oceanic Administration (SOA),Government,Earth Observation,Meteorology,"770km × 785km, 98.4°",LEO,Sun-Synchronous,100.4,442,,10/06/2020,,,Ocean-imaging surveillance satellite.
Haiyang 2A,37781,China,State Oceanic Administration (SOA),Government,Earth Observation,Meteorology,"965km × 967km, 99.4°",LEO,Sun-Synchronous,104.4,"1,500",,15/08/2011,3,,Ocean-imaging surveillance satellite.
Haiyang 2B,43655,China,State Oceanic Administration (SOA),Government,Earth Observation,Earth Science,"949km × 957km, 99.3°",LEO,Sun-Synchronous,104.1,"1,500",,24/10/2018,3,,
HaloSat,43549,USA,University of Iowa,Government,Space Science,,"399km × 407km, 51.6°",LEO,Non-Polar Inclined,92.6,10,,13/07/2018,,,Measure soft X-ray emissions from the halo of the Milky Way galaxy.
Hawk-A,43765,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,"577km × 590km, 97.7°",LEO,Sun-Synchronous,96.3,15,,03/12/2018,,,Uses rf-geolocation to detect radio frequences operating on Earth from space. More reliable than AIS.
Hawk-B,43794,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,"577km × 590km, 97.7°",LEO,Sun-Synchronous,96.3,15,,03/12/2018,,,Uses rf-geolocation to detect radio frequences operating on Earth from space. More reliable than AIS.
Hawk-C,43799,USA,HawkEye 360,Commercial,Surveillance,Electronic Intelligence,"574km × 592km, 97.7°",LEO,Sun-Synchronous,96.3,15,,03/12/2018,,,Uses rf-geolocation to detect radio frequences operating on Earth from space. More reliable than AIS.
HEAD-1,43011,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),"796km × 809km, 98.6°",LEO,Sun-Synchronous,100.9,45,,14/11/2017,3,,Pathfinder for 30-satellite Skywalker constellation - AIS equipped.
HEAD-2A,44838,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),"495km × 511km, 97.3°",LEO,Sun-Synchronous,94.6,45,,07/12/2019,,,First two spacecraft in HEAD Aerospace Skywalker constellation.
HEAD-2B,44839,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),"495km × 511km, 97.3°",LEO,Sun-Synchronous,94.6,45,,07/12/2019,,,
HEAD-4,45624,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),"487km × 502km, 97.3°",LEO,Sun-Synchronous,94.5,45,,31/05/2020,,,
HEAD-5,45796,China,HEAD Aerospace,Commercial,Earth Observation,Automatic Identification System (AIS),"485km × 502km, 97.3°",LEO,Sun-Synchronous,94.5,45,,17/06/2020,,,
Helios 2A,28492,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,Earth Observation,Optical Imaging,"681km × 683km, 98.1°",LEO,Sun-Synchronous,98,"4,200",,18/12/2004,5,,Optical reconnaissance; independent military intelligence capability for the EU (France has financed 90% of the B series).
Helios 2B,36124,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,Earth Observation,Optical Imaging,"679km × 682km, 98.1°",LEO,Sun-Synchronous,98.37,"4,200",,18/12/2009,5,,"Optical reconnaissance, independent military intelligence capability for the EU (France has financed 90% of the B series)."
HellasSat 2,27811,Greece,Hellas-Sat Consortium Ltd.,Commercial,Communications,,"35769km × 35803km, 0.01°",GEO,,1436.08,"3,300",,12/05/2003,15,,30 Ku-band; television broadcasting services for the 2004 Summer Olympic Games in Athens.
HellasSat 3,42814,Greece/United Kingdom,Hellas-Sat Consortium Ltd./INMARSAT,Commercial,Communications,,"35685km × 35788km, 0°",GEO,,1436.1,"5,780",,28/06/2017,15,,"Direct-to-home television programming over Europe, Africa and the Middle East with 44 Ku-band transponders and a Ka-band payload owned by Hellas-Sat; S-band payload will connect airline passengers traveling across Europe with Wi-Fi as part of Inmarsat’s European Aviation Network."
Hellas-Sat 4,44034,Greece,Hellas-Sat Consortium Ltd.,Commercial/Government,Communications,,"35785km × 35785km, 0.01°",GEO,,1436.1,"6,495",,05/02/2019,15,,"Will provide Ka-band broadband Internet connectivity and other telecom services across Saudi Arabia and neighboring countries, including secure military communications for nations in the Gulf Cooperative Council. Ku-band for Europe and Middle East."
RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager),27370,USA,"Space Sciences Laboratory, UC Berkeley/NASA",Government/Civil,Space Science,,"535km × 551km, 38°",LEO,Non-Polar Inclined,95.5,293,,05/02/2002,3,,Explore basic physics of particle acceleration and explosive energy release in solar flares.
Hiber-1,43744,Netherlands,Hiber Global,Commercial,Technology Development,,"476km × 500km, 97.5°",LEO,,95,4,,29/11/2018,,,
Hiber-2,43774,Netherlands,Hiber Global,Commercial,Technology Development,,"575km × 591km, 97.7°",LEO,,96.3,7,,03/12/2018,,,Test the IoT/M2M service. Part of 12/3/2019 SSO-A flight.
Himawari 8,40267,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,Meteorology,"35774km × 35797km, 0.08°",GEO,,1436.06,"3,500",,07/10/2014,8,,Equipped with highly improved Advanced Himawari Imagers (AHIs).
Himawari 9,41836,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,Meteorology,"35788km × 35799km, 0°",GEO,,1436.1,"3,500",,02/11/2016,8,,Equipped with highly improved Advanced Himawari Imagers (AHIs).
Hinode,29479,Multinational,Institute of Space and Aeronautical Science/NASA,Government,Space Science,,"670km × 696km, 98.1°",LEO,Sun-Synchronous,98.4,700,,22/10/2006,3,,
Hisaki,39253,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Space Science,,"952km × 1155km, 31°",Elliptical,,106.27,348,,14/09/2013,1,,Carries extreme ultraviolet telescope to observe the planets and measure their interaction with plasma generated by Jupiters moon Io and investigate the mechanism of how the atmosphere of the terrestrial planets escapes into space.
Hispasat 1D,27528,Spain,Hispasat,Government/Commercial/Military,Communications,,"35764km × 35809km, 0.02°",GEO,,1436.11,"3,288",,18/09/2002,15,,"Fourth of Spain's communications satellites with government, commercial and military application; X-band heavily used; 28 Ku-band transponders."
Hispasat 1E,37264,Spain,Hispasat,Commercial,Communications,,"35782km × 35786km, 0.07°",GEO,,1435.95,"5,320",,29/12/2010,15,,63 Ku-band transponders and a Ka-band capability.
Hispasat 30W-6,43228,Spain,Hispasat,Commercial,Communications,,"35786km × 35788km, 0°",GEO,,1436.11,"6,100",,06/03/2018,15,,"Forty Ku-band, 10 C-band, 7 Ka-band transponders. "
Hispasat 36W-1,41942,Spain,Hispasat,Commercial,Communications,,"35783km × 35791km, 0°",GEO,,1436.1,"3,220",,28/01/2017,15,,First GEO satellite built in Germany in 20 years.
HJ-1A,33320,China,National Remote Sensing Center (NRSCC),Government,Earth Observation,Optical Imaging,"628km × 665km, 97.8°",LEO,Sun-Synchronous,97.7,470,,05/09/2008,3,,Monitors environment and natural disasters.
HJ-1B,33321,China,National Remote Sensing Center (NRSCC),Government,Earth Observation,Optical Imaging,"621km × 673km, 97.8°",LEO,Sun-Synchronous,97.7,470,,05/09/2008,3,,Monitors environment and natural disasters.
HJ-1C,38997,China,National Committee for Disaster Reduction and State Environmental Protection,Government,Earth Observation,Radar Imaging,"420km × 438km, 97.33°",LEO,Sun-Synchronous,94.53,890,,18/11/2012,3,,Monitors environment and natural disasters.
Hodoyoshi-1,40299,Japan,University of Tokyo and NESTRA,Government,Earth Observation,Optical Imaging,"506km × 525km, 97.48°",LEO,Sun-Synchronous,94.93,65,,06/11/2014,,,Produce medium-high resolution Earth images.
Hodoyoshi-3,40015,Japan,University of Tokyo and NESTRA,Government,Technology Development,,"613km × 666km, 97.98°",LEO,Sun-Synchronous,97.51,60,,19/06/2014,,,Accelerate the technology development and practical utilization of micro/nano-satellites.
Hodoyoshi-4,40011,Japan,University of Tokyo and NESTRA,Government,Technology Development,,"613km × 650km, 97.99°",LEO,Sun-Synchronous,97.35,60,,19/06/2014,,,
Hongyan-1,43914,China,China Aerospace Science and Technology Corporation (CASC),Government,Communications,,"1090km × 1098km, 50°",LEO,Non-Polar Inclined,107.1,,,29/12/2018,,,Planned LEO communications constellation. Will test L-band and Ka-band communications technologies in orbit.
Hongyun-1,43871,China,China Aerospace Science and Industry Corporation (CASIC),Commercial,Technology Development,,"1061km × 1077km, 99.92°",LEO,Sun-Synchronous,106.59,,,21/12/2018,,,First of a planned broadband constellation of 156 satellites. This satellite will verify technologies.
Horizons 2,32388,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,,"35777km × 35796km, 0°",GEO,,1436.1,"2,300",,21/12/2007,15,,"Joint venture between Intelsat and JSAT; 20 Ku-band transponders, services to the US, Canada and Japan."
Horizons 3e,43633,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,,"35789km × 35798km, 0°",GEO,,1436.1,"6,500",,25/09/2018,15,,Aeronautical and maritime mobility services in Pacific Northwest and North America.
Horyu-2,38340,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,,"650km × 669km, 98.2°",LEO,Sun-Synchronous,97.9,7,,17/05/2012,1,,To test an experimental high-voltage solar array system and observe spacecraft charging effects caused by it; also provide ground communication for junior/senor high school students as amateur radio.
HSAT-1,43720,USA,Harris Corporation,Commercial,Communications,,"476km × 500km, 97.4°",LEO,Sun-Synchronous,95,4,,29/11/2018,,,Test deployable antenna design for potential use on future smallsats.
Huangpu-1,44705,China,Shanghai Lizheng Satellite Application Technology,Commercial,Communications,,"485km × 504km, 97.5°",LEO,Sun-Synchronous,94.5,50,,03/11/2019,,,First of a planned 90-satellite communications constellation
Hubble Space Telescope,20580,ESA/USA,European Space Agency (ESA)/NASA,Government,Space Science,,"555km × 559km, 28.5°",LEO,Non-Polar Inclined,95.8,"11,110",,25/04/1990,10,,Exploration of space.
Huia'an,43156,China,Huaian Youth Comprehensive Development Base,Civil,Technology Development,,"529km × 547km, 97.5°",LEO,Sun-Synchronous,95.4,3,,18/01/2018,,,Student education.
Huskysat-1,45113,USA,University of Washington,Civil,Technology Development,,"459km × 474km, 51.6°",LEO,Non-Polar Inclined,93.9,5,,31/01/2020,,,Demonstrate on-board plasma propulsion and high-gain telemetry for LEO that would be a precursor for an attempt at a larger cubesat designed for orbital insertion at the moon.
HXMT,42758,China,National Space Science Center (NSSC),Government,Space Science,,"536km × 545km, 43.02°",LEO,Non-Polar Inclined,95.4,"2,500",,15/06/2017,4,,Carries three x-ray telescopes observing at energies ranging from 20 to 200 kilo-electron volts as well as an instrument to monitor the space environment.
HYLAS 4,43272,United Kingdom,"Avanti Communications, PLC",Commercial,Communications,,"35778km × 35795km, 0°",GEO,,1436.1,"4,050",,05/04/2018,15,,High speed broadcast service.
HYLAS 1,37237,United Kingdom,"Avanti Communications, PLC",Commercial,Communications,,"35770km × 35803km, 0.01°",GEO,,1436.07,"2,242",,26/11/2010,15,,Stated goal of providing broadband internet access to people in the areas hardest to reach by terrestrial connectivity means
HYLAS 2,38741,United Kingdom,"Avanti Communications, PLC",Commercial,Communications,,"35775km × 35799km, 0.06°",GEO,,1436.14,"3,311",,02/08/2012,15,,"24 fixed beams and one steerable beam, pioneering Ka-band technology. High speed data capacity across southern and Eastern Africa, the Middle East and the Caucasus."
HySIS,43719,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Hyperspectral Imaging,"647km × 648km, 98°",LEO,Sun-Synchronous,95,380,,29/11/2018,5,,"Earth-facing imager capable of collecting data at 316 bands across the visible, near-infrared and shortwave infrared spectra."
Icesat-2,43613,USA,National Aeronautics and Space Administration (NASA),Government,Earth Science,Laser Imaging,"455km × 468km, 93.02°",LEO,Polar,93.8,"1,515",,15/09/2018,3,,Will measure depth of ice with lasers from space.
ICEYE-X2,43800,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,"570km × 587km, 97.7°",LEO,Sun-Synchronous,96.3,80,,03/12/2018,,,X-band synthetic radar aperture microsatellite.
ICEYE-X3,44229,USA,US Army Space and Missile Defense Command,Military,Technology Development,Radar Imaging,"498km × 510km, 40.02°",LEO,Non-Polar Inclined,94.7,150,,05/05/2019,,,Synthetic aperture radar for all-weather Earth observation and a high-data-rate communications link to transmit the radar imagery to users on the ground.
ICEYE-X4,44390,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,"564km × 594km, 97.7°",LEO,Sun-Synchronous,96.2,80,,05/07/2019,,,
ICEYE-X5,44389,Finland,ICEYE Ltd.,Commercial,Earth Observation,Radar Imaging,"564km × 590km, 97.7°",LEO,Sun-Synchronous,96.2,80,,05/07/2019,,,
