Application,Class of Orbit,Date of Launch,Describe,Detailed Purpose,Equipment,Expected Lifetime (yrs),International Designator,Mass (kg),NORAD Number,Nation,Official Name,Operator,Orbit,Period (minutes),Type of Orbit,Users,_id
Technology Development,LEO,10/12/2001,Test three-dimensional attitude control system for future remote sensing; currently used for ice observation in Arctic.,,,3,,47,27004,Morocco/Germany,Maroc Tubsat,CTRS Morocco/Institut f�r Luft-und Raumfahrttechnik (Berlin),"984km � 1014km, 99.2�",105.1,Sun-Synchronous,Government,60e5620d98df02cf358004c0
Space Science/Technology Development,LEO,23/06/2017,Carries a mini x-ray telescope added to the mission by the Max Planck Institute of Extraterrestrial Physics (MPE).,,,,,16,42778,Italy,Max Valier,"Max Valier school Bolzano, Italy, Oskar von Miller school, Merano, Italy","496km � 516km, 97.45�",94.7,Sun-Synchronous,Civil,60e5620d98df02cf358004c1
Earth Observation,LEO,10/08/2018,Will supplement information supplied by Diwata-1.,Optical Imaging,,,,1,43590,Philippines,Maya-1,Kyushu Institute of Technology (KIT),"398km � 409km, 51.6�",94.7,Non-Polar Inclined,Civil,60e5620d98df02cf358004c2
Technology Development,LEO,28/10/2011,M-Cubed is as a technology demonstrator platform for high resolution imaging technology intended for use in a future Nasa mission; E1P-U2 mission is to detect the Van Allen radiation belts.,,,,,2,37855,USA,M-Cubed/E1P-U2,University of Michigan/Montana University,"442km � 724km, 101.7�",97.45,Polar,Civil,60e5620d98df02cf358004c3
Communications,GEO,11/12/2006,"24 C-band, 24 Ku-band",,,15,,"4,900",29648,Malaysia,Measat 3,MEASAT Satellite Systems Sdn. Bhd.,"35778km � 35794km, 0�",1436.1,,Commercial,60e5620d98df02cf358004c4
Communications,GEO,21/06/2009,"12 C-band, 12 Ku-band transponders, Asia-Pacific region, Middle East, and Africa.",,,15,,"2,417",35362,Malaysia,Measat 3A,MEASAT Satellite Systems Sdn. Bhd.,"35728km � 35788km, 0.04�",1434.6,,Commercial,60e5620d98df02cf358004c5
Communications,GEO,11/09/2014,48 Ku-band transponders.,,,15,,"5,800",40147,Malaysia,Measat 3B,MEASAT Satellite Systems Sdn. Bhd.,"35772km � 35802km, 0.05�",1436.11,,Commercial,60e5620d98df02cf358004c6
Earth Observation,LEO,12/10/2011,The data collected by the satellite will allow improvement in knowledge on the water cycle contribution to the climate dynamic in the tropical atmosphere and our understanding of the processes linked to the tropical convection.,Earth Science,,5,,"1,000",37838,India/France,Megha-Tropiques,"Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES)","853km � 868km, 20�",102.2,Non-Polar Inclined,Government,60e5620d98df02cf358004c7
Communications,GEO,07/08/2018,,,,16,,"5,800",43587,Indonesia,Merah Putih,PT Telkomunikasi,"35789km � 35797km, 0�",1436.1,,Commercial,60e5620d98df02cf358004c8
Space Science/Technology Development,LEO,17/1/2021,Miniature electrodynamic tether system,,,,,3,47314,USA,MiTee 1,University of Michigan,"494.7km � 516km, 60.7�",94.6,,Civil,60e5620d98df02cf358004c9
Earth Observation,GEO,27/08/1994,,Electronic Intelligence,,,,"8,000",23223,USA,USA 105,National Reconnaissance Office (NRO)/US Air Force,"35598km � 35976km, 5.1�",1436.13,,Military,60e5620d98df02cf358004ca
Earth Observation,GEO,24/04/1996,In the $1 billion range; ELINT; signals intelligence.,Electronic Intelligence,,,,"8,000",23855,USA,USA 118,National Reconnaissance Office (NRO)/US Air Force,"33674km � 37900km, 7.33�",1436.12,,Military,60e5620d98df02cf358004cb
Earth Observation,GEO,10/04/2014,Speculated to be a new SIGINT satellite - not verified.,Electronic Intelligence,,,,"3,900",39652,USA,USA 250,National Reconnaissance Office (NRO)/US Air Force,"35500km � 35500km, 7�",1436,,Military,60e5620d98df02cf358004cc
Communications,Elliptical,02/11/2010,"Military communications - designed to replace Molniya and Parus spacecraft; this is the third of the series, first success.",,,,,"2,500",37212,Russia,Meridian-3,Military Space Forces (VKS),"2253km � 38105km, 62.85�",645.98,Molniya,Military,60e5620d98df02cf358004cd
Communications,Elliptical,04/05/2011,Military communications - designed to replace Molniya and Parus spacecraft; this is the fourth of the series.,,,,,"2,500",37398,Russia,Meridian-4,Military Space Forces (VKS),"1722km � 38637km, 64.47�",717.88,Molniya,Military,60e5620d98df02cf358004ce
Communications,Elliptical,14/11/2012,Military communications - designed to replace Molniya and Parus spacecraft; this is the sixth of the series.,,,7,,"2,500",38995,Russia,Meridian-6,Military Space Forces (VKS),"1494km � 38860km, 63.77�",718.04,Molniya,Military,60e5620d98df02cf358004cf
Communications,Elliptical,30/10/2014,Military communications - designed to replace Molniya and Parus spacecraft; this is the seventh of the series.,,,7,,"2,500",40296,Russia,Meridian-7,Military Space Forces (VKS),"962km � 39398km, 62.82�",717.88,Molniya,Military,60e5620d98df02cf358004d0
Communications,Elliptical,30/07/2019,Military communications - designed to replace Molniya and Parus spacecraft.,,,7,,"2,500",44453,Russia,Meridian-8,Military Space Forces (VKS),"986km � 39735km, 62.8�",725.21,Molniya,Military,60e5620d98df02cf358004d1
Communications,Elliptical,20/02/2020,Military communicatdions.,,,7,,"2,500",45254,Russia,Meridian-9,Military Space Forces (VKS),"1036km � 39308km, 62.84�",717.56,Molniya,Military,60e5620d98df02cf358004d2
Technology Development,LEO,27/11/2019,Will test an experimental phased array antenna developed by MITRE.,,,,,5,44806,USA,Meshbed,Analytical Space,"499km � 517km, 97.5�",94.8,,Government,60e5620d98df02cf358004d3
Earth Observation,LEO,05/07/2019,,Meteorology,,5,,"2,900",44387,Russia,Meteor-M 2.2,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),"812km � 815km, 98.5�",101.1,Sun-Synchronous,Government,60e5620d98df02cf358004d4
Earth Observation,LEO,08/07/2014,Imaging meteorological satellite carrying a range of weather and climate sensors,Meteorology,,5,,"2,778",40069,Russia,Meteor-M N-2,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),"819km � 828km, 98.81�",101.3,Sun-Synchronous,Government,60e5620d98df02cf358004d5
Earth Observation,GEO,05/07/2012,,Earth Science/Meterology,,7,,"2,000",38552,Multinational,Meteosat 10,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"35784km � 35791km, 1.8�",1436.15,,Government/Civil,60e5620d98df02cf358004d6
Earth Observation,GEO,15/07/2015,,Earth Science/Meterology,,12,,"2,000",40732,Multinational,Meteosat 11,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"35791km � 35795km, 3.1�",1436.1,,Government/Civil,60e5620d98df02cf358004d7
Earth Observation,GEO,21/08/2002,Meteorological spacecraft; intended primarily to support the National Meteorological Services (NMS) of Member States; planned system of 3 satellites,Earth Science/Meterology,,12,,"2,000",27509,Multinational,Meteosat 8,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"35781km � 35793km, 0.46�",1436.1,,Government/Civil,60e5620d98df02cf358004d8
Earth Observation,GEO,21/12/2005,Meteorological spacecraft; intended primarily to support the National Meteorologicla Services (NMS) of Member States; planned system of 3 satellites.,Earth Science/Meterology,,12,,"2,000",28912,Multinational,Meteosat 9,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),"35775km � 35795km, 0.29�",1436,,Government/Civil,60e5620d98df02cf358004d9
Earth Observation,LEO,19/10/2006,First polar-orbiting European meteorological satellite.,Earth Science/Meterology,,5,,"4,193",29499,Multinational,MetOp-A,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),"820km � 821km, 98.7�",101.3,Sun-Synchronous,Government/Civil,60e5620d98df02cf358004da
Earth Observation,LEO,17/09/2012,,Earth Science/Meterology,,5,,"4,085",38771,Multinational,MetOp-B,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),"819km � 822km, 98.7�",101.3,Sun-Synchronous,Government/Civil,60e5620d98df02cf358004db
Earth Observation,LEO,06/11/2018,"Last of EUMETSAT's meteorological satellites in low-earth orbit.",Earth Science/Meterology,,5,,"4,084",43689,Multinational,MetOp-C,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),"825km � 829km, 98.7�",101.2,Sun-Synchronous,Government/Civil,60e5620d98df02cf358004dc
Mission Extension Technology,GEO,09/10/2019,Will dock with the Intelsat 901 communications satellite and provide propulsion and attitude control functions to extend the spacecraft�s mission.,,,,,,44625,USA,MEV-1,Space Logistics LLC,"36000km � 36000km, 1.5�","1,450.10",,Commercial,60e5620d98df02cf358004dd
Communications,GEO,19/12/2012,Start of 3-satellite constellation.,,,15,,"2,900",39035,Mexico,Mexsat-3,Mexico Telecomm,"35784km � 35791km, 0.07�",1436.16,,Government/Military,60e5620d98df02cf358004de
Communications,GEO,02/10/2015,,,,15,,"5,325",40946,Mexico,Mexsat-2,Mexico Telecomm,"35767km � 35805km, 7.12�","1,436",,Government,60e5620d98df02cf358004df
Earth Observation,LEO,18/01/2019,"Will monitor the world�s oceans to examine fishing grounds and search for disasters such as oil spills; will also measure aerosols, microscopic particles suspended in Earth�s atmosphere.",,,,,51,43935,Vietnam,MicroDragon,Vietnam National Space Center,"490km � 511km, 97.3�",95,Sun-Synchronous,Government,60e5620d98df02cf358004e0
Earth Observation,LEO,11/01/2018,"Foundation for a 12-satellite, three-plane constellation known as TROPICS-CubeSats deployed into 600-Kilometer orbits at a 30-degree inclination to deliver high-revisit coverage of the tropical regions",Earth Science,,,,4,43131,USA,MicroMAS-2A ,MIT/Lincoln Laboratory-University of Massachusetts Amherst,"493km � 505km, 97.5�",95,Sun-Synchronous,Civil/Government,60e5620d98df02cf358004e1
Earth Observation,LEO,11/01/2018,"Panchromatic, color and near-infrared imagery",Optical Imaging,,,,120,43128,India,Microsat-TD,Indian Space Research Organization (ISRO),"327km � 368km, 97.2�",91,Sun-Synchronous,Government,60e5620d98df02cf358004e2
Space Science,LEO,27/04/2016,Pinpoint the origin of mysterious brilliant flashes of light in the upper atmosphere called transient luminous events.,,,3,,645,41464,Russia,MVL-300,Moscow State University,"469km � 487km, 97.27�",94,Sun-Synchronous,Civil/Government,60e5620d98df02cf358004e3
Communications,GEO,07/02/1994,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",,,10,,"4,536",22988,USA,USA 99,US Air Force,"35754km � 35819km, 5.99�",1436.13,,Military,60e5620d98df02cf358004e4
Communications,GEO,27/02/2001,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",,,12,,"4,536",26715,USA,USA 157,US Air Force,"35764km � 35768km, 4.5�",1435.04,,Military,60e5620d98df02cf358004e5
Communications,GEO,16/01/2002,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",,,12,,"4,536",27168,USA,USA 164,US Air Force,"35753km � 35820km, 3.45�",1436.12,,Military,60e5620d98df02cf358004e6
Communications,GEO,08/04/2003,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",,,12,,"4,536",27711,USA,USA 169,US Air Force,"35768km � 35806km, 0.82�",1436.13,,Military,60e5620d98df02cf358004e7
Space Science,LEO,03/12/2018,Student built. Study solar flare soft x-ray (SXR) emissions and other space science.,,,5,,4,43758,USA,MINXSS-2,"University of Colorado, Boulder","573km � 589km, 97.7�",96.3,Sun-Synchronous,Government/Civil,60e5620d98df02cf358004e8
Earth Observation,LEO,08/11/2017,"Morocco's first earth observation satellite.",Optical Imaging,,,,"1,110",43005,Morocco,Mohammed VI-A,Kingdom of Morocco,"636km � 638km, 97.9�",97,Sun-Synchronous,Government,60e5620d98df02cf358004e9
Earth Observation,LEO,21/11/2018,Second earth observation satellite for Morocco.,Optical Imaging,,,,"1,110",43717,Morocco,Mohammed VI-B,Kingdom of Morocco,"601km � 606km, 98�",97,Sun-Synchronous,Government,60e5620d98df02cf358004ea
Space Science,LEO,30/06/2003,"Canada's space telescope, dubbed the ""Humble Telescope""; minisatellite; monitor brightness variations in stars.",,,1,,53,27843,Canada,Microvariability & Oscillations of Stars (MOST),Canadian Space Agency,"817km � 832km, 98.7�",101.4,Sun-Synchronous,Government,60e5620d98df02cf358004eb
Technology Development,LEO,03/12/2018,Project for training engineers and students in satellite technology.,,,,,2,43780,Germany,MOVE II,Technical University of Munich,"572km � 590km, 97.7�",96.3,Sun-Synchronous,Government/Civil,60e5620d98df02cf358004ec
Technology Development,LEO,05/07/2019,"Student built, technology development.",,,,,1,44398,Germany,MOVE Iib,Technical University of Munich,"512km � 550km, 97.5�",95.2,Sun-Synchronous,Government/Civil,60e5620d98df02cf358004ed
Technology Development,LEO,27/09/2003,Training satellite; carries an amateur radio payload.,,,,,64,27939,Russia,Mozhayets 4,Mozhaisky Space Engineering Academy,"669km � 690km, 97.8�",98.3,Sun-Synchronous,Government/Civil,60e5620d98df02cf358004ee
Technology Development,LEO,01/04/2019,"Hosts two commercial payloads for SpaceWorks Orbital and Lacuna Space, two companies designing communications and tracking networks using nanosatellites as relay nodes to collect and retransmit data from devices and sensors around the world.",,,,,7,44109,Lithuania,MP6,NanoAvionics,"434km � 514km, 97.5�",94,Sun-Synchronous,Commercial,60e5620d98df02cf358004ef
Communications,GEO,20/04/1996,Wireless network for North America,,,12,,"2,850",23846,USA/Canada,MSAT 1,Mobile Satellite Ventures,"35763km � 35809km, 1.37�",1436.09,,Commercial,60e5620d98df02cf358004f0
Communications,GEO,07/04/1995,Wireless network for North America,,,10,,"2,850",23553,USA/Canada,MSAT 2,Mobile Satellite Ventures,"35776km � 35796km, 4.02�",1436.09,,Commercial,60e5620d98df02cf358004f1
Technology Development,LEO,12/03/2000,"Primary objective is to demonstrate advanced multispectral and thermal imaging, image processing, and associated technologies that could be used in future systems for detecting and characterizing facilities producing weapons of mass destruction.",,,3,,587,26102,USA,Multispectral Thermal Imager (MTI),US Department of Energy/Office of Nonproliferation and National Security,"461km � 478km, 97.47�",94.9,Sun-Synchronous,Government/Military,60e5620d98df02cf358004f2
Earth Observation,GEO,18/02/2006,Meteorological satellite; will also relay ground weather data to the Meteorological Satellite Center; in standby mode until 2010.,Meteorology,,5,,"2,900",28937,Japan,MTSAT-2,Japan Meteorological Agency/Meteorological Satellite Center (MSC),"35776km � 35797km, 0.01�",1436.1,,Government,60e5620d98df02cf358004f3
Communications,GEO,24/02/2012,"Four primary satellites and one orbiting spare will comprise the MUOS system as it is fielded over the next few years to augment and then replace the Navy's aging Ultra High Frequency spacecraft constellation. Orbital parameters estimated.",,,12,,"6,804",38093,USA,MUOS-1,DoD/US Navy,"35569km � 36006km, 3.73�",1436.1,,Military,60e5620d98df02cf358004f4
Communications,GEO,19/07/2013,Second of four.,,,12,,"6,804",39206,USA,MUOS-2,DoD/US Navy,"35550km � 36023km, 4.11�",1436.1,,Military,60e5620d98df02cf358004f5
Communications,GEO,21/01/2015,Next-generation narrowband tactical satellite communications system designed to significantly improve ground communications for U.S. forces on the move.,,,,,"6,804",40374,USA,MUOS-3,DoD/US Navy,"35576km � 35998km, 4.57�",1436.1,,Military,60e5620d98df02cf358004f6
Communications,GEO,02/09/2015,,,,,,"6,804",40887,USA,MUOS-4,DoD/US Navy,"35576km � 35997km, 4.8�",1436.1,,Military,60e5620d98df02cf358004f7
Communications,GEO,24/06/2016,"Main engine failed during initial orbit-raising. Planned for 75 E, but is located at 105 W. Slightly more inclined than normal but can function. Spare. Completes the five-satellite constellation.",,,,,"6,804",41622,USA,MUOS-5,DoD/US Navy,"35576km � 35998km, 4.5�",1436.1,,Military,60e5620d98df02cf358004f8
Technology Development,GEO,14/04/2018,Released from USA 284. The Air Force describes Mycroft as a �fourth-generation space situational awareness experiment.� ,,,,,,43445,USA,USA 285,Air Force Research Laboratory,"35246km � 35309km, 1.94�",1410.17,,Military,60e5620d98df02cf358004f9
Technology Development,LEO,14/07/2017,Strictly for internal development testing.,,,,,6,42844,USA,NanoACE,"Tyvak Nanosatellite Systems, Inc.","486km � 602km, 97.6�",96.6,Sun-Synchronous,Commercial,60e5620d98df02cf358004fa
Communications,LEO,18/12/2004,Will maintain contact with Spanish zone in Antarctica; extremely small magnetic and solar sensors.,,,,,20,28493,Spain,Nanosat-1,Instituto Nacional de T�cnia Aeroespacial (INTA),"654km � 659km, 98.4�",97.9,Sun-Synchronous,Government,60e5620d98df02cf358004fb
Communications/Technology Development,LEO,29/07/2009,Technology demonstration and communication.,,,,,20,35685,Spain,Nanosat-1B,Instituto Nacional de T�cnia Aeroespacial (INTA),"583km � 672km, 98.1�",97.3,Sun-Synchronous,Government,60e5620d98df02cf358004fc
Technology Development,LEO,20/11/2019,,,,1,,1,44792,Egypt,NARSSCUBE-1,National Authority for Remote Sensing and Space Sciences,"400km � 407km, 51.6�",92.6,Non-Polar Inclined,Government,60e5620d98df02cf358004fd
Technology Development,LEO,25/07/2019,,,,1,,1,44415,Egypt,NARSSCUBE-2,National Authority for Remote Sensing and Space Sciences,"468km � 483km, 51.6�",92.6,Non-Polar Inclined,Government,60e5620d98df02cf358004fe
Navigation/Global Positioning,MEO,28/05/2010,First in the IIF series.,,,12,,"1,630",36585,USA,USA 213,DoD/US Air Force,"20188km � 20224km, 55�",718.94,Non-Polar Inclined,Military/Commercial,60e5620d98df02cf358004ff
Navigation/Global Positioning,MEO,15/07/2015,,,,12,,"1,630",40730,USA,USA 262,DoD/US Air Force,"20446km � 20459km, 54.9�",728.96,Non-Polar Inclined,Military/Commercial,60e5620d98df02cf35800500
Navigation/Global Positioning,MEO,31/10/2015,,,,12,,"1,630",41019,USA,USA 265,DoD/US Air Force,"20426km � 20486km, 55�",97.7,Non-Polar Inclined,Military/Commercial,60e5620d98df02cf35800501
Navigation/Global Positioning,MEO,05/02/2016,,,,12,,"1,630",41328,USA,USA 266,DoD/US Air Force,"20175km � 20188km, 55�",717.9,Non-Polar Inclined,Military/Commercial,60e5620d98df02cf35800502
Navigation/Global Positioning,MEO,16/07/2011,,,,12,,"1,630",37753,USA,USA 232,DoD/US Air Force,"20451km � 20464km, 55.03�",729.18,Non-Polar Inclined,Military/Commercial,60e5620d98df02cf35800503
